queries_sent,budget_frac,cum_errors_covered,frac_errors_covered
328,0.6586345381526104,219,0.8233082706766918
329,0.6606425702811245,219,0.8233082706766918
330,0.6626506024096386,219,0.8233082706766918
331,0.6646586345381527,219,0.8233082706766918
332,0.6666666666666666,220,0.8270676691729323
333,0.6686746987951807,220,0.8270676691729323
334,0.6706827309236948,220,0.8270676691729323
335,0.6726907630522089,220,0.8270676691729323
336,0.6746987951807228,220,0.8270676691729323
337,0.6767068273092369,220,0.8270676691729323
338,0.678714859437751,221,0.8308270676691729
339,0.6807228915662651,222,0.8345864661654135
340,0.6827309236947792,223,0.8383458646616542
341,0.6847389558232931,224,0.8421052631578947
342,0.6867469879518072,225,0.8458646616541353
343,0.6887550200803213,226,0.849624060150376
344,0.6907630522088354,227,0.8533834586466166
345,0.6927710843373494,228,0.8571428571428571
346,0.6947791164658634,228,0.8571428571428571
347,0.6967871485943775,229,0.8609022556390977
348,0.6987951807228916,229,0.8609022556390977
349,0.7008032128514057,229,0.8609022556390977
350,0.7028112449799196,229,0.8609022556390977
351,0.7048192771084337,230,0.8646616541353384
352,0.7068273092369478,230,0.8646616541353384
353,0.7088353413654619,231,0.868421052631579
354,0.7108433734939759,231,0.868421052631579
355,0.7128514056224899,231,0.868421052631579
356,0.714859437751004,231,0.868421052631579
357,0.7168674698795181,231,0.868421052631579
358,0.7188755020080321,231,0.868421052631579
359,0.7208835341365462,232,0.8721804511278195
360,0.7228915662650602,232,0.8721804511278195
361,0.7248995983935743,232,0.8721804511278195
362,0.7269076305220884,232,0.8721804511278195
363,0.7289156626506024,232,0.8721804511278195
364,0.7309236947791165,232,0.8721804511278195
365,0.7329317269076305,233,0.8759398496240601
366,0.7349397590361446,233,0.8759398496240601
367,0.7369477911646586,233,0.8759398496240601
368,0.7389558232931727,233,0.8759398496240601
369,0.7409638554216867,233,0.8759398496240601
370,0.7429718875502008,234,0.8796992481203008
371,0.7449799196787149,234,0.8796992481203008
372,0.7469879518072289,235,0.8834586466165414
373,0.748995983935743,235,0.8834586466165414
374,0.751004016064257,235,0.8834586466165414
375,0.7530120481927711,236,0.8872180451127819
376,0.7550200803212851,236,0.8872180451127819
377,0.7570281124497992,236,0.8872180451127819
378,0.7590361445783133,236,0.8872180451127819
379,0.7610441767068273,236,0.8872180451127819
380,0.7630522088353414,237,0.8909774436090225
381,0.7650602409638554,237,0.8909774436090225
382,0.7670682730923695,237,0.8909774436090225
383,0.7690763052208835,237,0.8909774436090225
384,0.7710843373493976,237,0.8909774436090225
385,0.7730923694779116,237,0.8909774436090225
386,0.7751004016064257,237,0.8909774436090225
387,0.7771084337349398,237,0.8909774436090225
388,0.7791164658634538,237,0.8909774436090225
389,0.7811244979919679,237,0.8909774436090225
390,0.7831325301204819,237,0.8909774436090225
391,0.785140562248996,237,0.8909774436090225
392,0.7871485943775101,237,0.8909774436090225
393,0.7891566265060241,237,0.8909774436090225
394,0.7911646586345381,237,0.8909774436090225
395,0.7931726907630522,237,0.8909774436090225
396,0.7951807228915663,237,0.8909774436090225
397,0.7971887550200804,237,0.8909774436090225
398,0.7991967871485943,237,0.8909774436090225
399,0.8012048192771084,238,0.8947368421052632
400,0.8032128514056225,238,0.8947368421052632
401,0.8052208835341366,238,0.8947368421052632
402,0.8072289156626506,238,0.8947368421052632
403,0.8092369477911646,238,0.8947368421052632
404,0.8112449799196787,238,0.8947368421052632
405,0.8132530120481928,238,0.8947368421052632
406,0.8152610441767069,238,0.8947368421052632
407,0.8172690763052208,239,0.8984962406015038
408,0.8192771084337349,240,0.9022556390977443
409,0.821285140562249,241,0.9060150375939849
410,0.8232931726907631,241,0.9060150375939849
411,0.8253012048192772,242,0.9097744360902256
412,0.8273092369477911,243,0.9135338345864662
413,0.8293172690763052,243,0.9135338345864662
414,0.8313253012048193,243,0.9135338345864662
415,0.8333333333333334,243,0.9135338345864662
416,0.8353413654618473,243,0.9135338345864662
417,0.8373493975903614,243,0.9135338345864662
418,0.8393574297188755,243,0.9135338345864662
419,0.8413654618473896,243,0.9135338345864662
420,0.8433734939759037,243,0.9135338345864662
421,0.8453815261044176,244,0.9172932330827067
422,0.8473895582329317,245,0.9210526315789473
423,0.8493975903614458,245,0.9210526315789473
424,0.8514056224899599,245,0.9210526315789473
425,0.8534136546184738,245,0.9210526315789473
426,0.8554216867469879,245,0.9210526315789473
427,0.857429718875502,246,0.924812030075188
428,0.8594377510040161,246,0.924812030075188
429,0.8614457831325302,247,0.9285714285714286
430,0.8634538152610441,247,0.9285714285714286
431,0.8654618473895582,248,0.9323308270676691
432,0.8674698795180723,248,0.9323308270676691
433,0.8694779116465864,248,0.9323308270676691
434,0.8714859437751004,248,0.9323308270676691
435,0.8734939759036144,248,0.9323308270676691
436,0.8755020080321285,248,0.9323308270676691
437,0.8775100401606426,248,0.9323308270676691
438,0.8795180722891566,248,0.9323308270676691
439,0.8815261044176707,248,0.9323308270676691
440,0.8835341365461847,249,0.9360902255639098
441,0.8855421686746988,250,0.9398496240601504
442,0.8875502008032129,250,0.9398496240601504
443,0.8895582329317269,250,0.9398496240601504
444,0.891566265060241,250,0.9398496240601504
445,0.893574297188755,250,0.9398496240601504
446,0.8955823293172691,250,0.9398496240601504
447,0.8975903614457831,250,0.9398496240601504
448,0.8995983935742972,251,0.943609022556391
449,0.9016064257028112,251,0.943609022556391
450,0.9036144578313253,251,0.943609022556391
451,0.9056224899598394,251,0.943609022556391
452,0.9076305220883534,252,0.9473684210526315
453,0.9096385542168675,252,0.9473684210526315
454,0.9116465863453815,252,0.9473684210526315
